USER_ID,Predictions
2,Democrat
3,Republican
6,Republican
7,Democrat
14,Democrat
28,Republican
29,Democrat
37,Republican
44,Democrat
56,Democrat
62,Democrat
68,Democrat
72,Democrat
74,Democrat
80,Republican
81,Republican
87,Democrat
92,Democrat
96,Democrat
100,Democrat
104,Democrat
105,Republican
108,Republican
124,Democrat
125,Democrat
127,Democrat
128,Republican
129,Republican
130,Republican
139,Republican
149,Republican
151,Republican
154,Republican
158,Republican
159,Democrat
168,Democrat
177,Republican
185,Republican
192,Democrat
195,Democrat
198,Democrat
208,Democrat
209,Democrat
213,Republican
225,Democrat
229,Republican
231,Democrat
236,Democrat
238,Republican
239,Republican
240,Democrat
244,Democrat
259,Democrat
260,Republican
264,Democrat
267,Republican
268,Democrat
271,Democrat
272,Democrat
274,Democrat
285,Republican
286,Democrat
296,Republican
308,Republican
310,Republican
318,Republican
333,Republican
340,Democrat
342,Republican
343,Democrat
344,Democrat
345,Republican
346,Democrat
352,Democrat
354,Republican
357,Democrat
366,Democrat
369,Republican
380,Republican
389,Republican
391,Democrat
394,Democrat
396,Republican
404,Republican
407,Republican
422,Democrat
426,Republican
428,Democrat
429,Republican
438,Republican
452,Democrat
462,Democrat
469,Republican
480,Democrat
488,Republican
489,Democrat
492,Democrat
498,Democrat
505,Democrat
508,Republican
510,Democrat
511,Democrat
512,Republican
518,Democrat
519,Democrat
522,Republican
523,Democrat
528,Republican
530,Democrat
543,Democrat
549,Democrat
553,Republican
556,Democrat
558,Democrat
562,Republican
563,Republican
565,Republican
567,Democrat
571,Democrat
572,Democrat
581,Republican
584,Republican
600,Democrat
611,Democrat
617,Democrat
635,Democrat
642,Democrat
646,Democrat
648,Democrat
651,Democrat
659,Democrat
661,Republican
683,Democrat
685,Republican
694,Democrat
699,Republican
701,Democrat
702,Republican
704,Democrat
713,Republican
720,Democrat
725,Democrat
726,Republican
727,Democrat
732,Republican
733,Republican
734,Democrat
741,Republican
747,Republican
750,Democrat
752,Democrat
753,Democrat
760,Democrat
774,Republican
782,Democrat
803,Democrat
807,Democrat
813,Democrat
838,Democrat
839,Democrat
844,Democrat
846,Democrat
847,Democrat
863,Republican
864,Republican
866,Democrat
870,Republican
873,Democrat
878,Democrat
883,Democrat
885,Republican
886,Democrat
897,Democrat
902,Republican
907,Democrat
912,Democrat
914,Democrat
918,Republican
924,Republican
932,Republican
947,Democrat
948,Democrat
951,Republican
958,Democrat
963,Democrat
965,Democrat
969,Democrat
973,Democrat
975,Democrat
983,Republican
1002,Democrat
1015,Republican
1019,Democrat
1020,Republican
1029,Democrat
1030,Republican
1032,Republican
1037,Democrat
1048,Democrat
1050,Republican
